Country,Cases,Deaths,Region
China,11791,259,Asia
Thailand,19,0,Asia
Japan,17,0,Asia
Singapore,16,0,Asia
Hong Kong,13,0,Asia
South Korea,11,0,Asia
Taiwan,10,0,Asia
Australia,9,0,Australia/Oceania
Malaysia,8,0,Asia
United States,7,0,North America
Germany,7,0,Europe
Macao,7,0,Asia
France,6,0,Europe
Vietnam,5,0,Asia
United Arab Emirates,4,0,Asia
Canada,4,0,North America
United Kingdom,2,0,Europe
Russia,2,0,Europe
Italy,2,0,Europe
India,1,0,Asia
Finland,1,0,Europe
Sweden,1,0,Europe
Sri Lanka,1,0,Asia
Cambodia,1,0,Asia
Philippines,1,0,Asia
Nepal,1,0,Asia
Spain,1,0,Europe
