Country,Total Cases,Change Today,Total Deaths,Region
China,11860,69,259,Asia
Japan,20,3,0,Asia
Thailand,19,,0,Asia
Singapore,18,2,0,Asia
Hong Kong,13,,0,Asia
South Korea,12,1,0,Asia
Australia,12,3,0,Australia/Oceania
Taiwan,10,,0,Asia
Malaysia,8,,0,Asia
U.S.,7,,0,North America
Germany,7,,0,Europe
Macao,7,,0,Asia
Vietnam,6,1,0,Asia
France,6,,0,Europe
U.A.E.,4,,0,Asia
Canada,4,,0,North America
Italy,2,,0,Europe
Russia,2,,0,Europe
U.K.,2,,0,Europe
Cambodia,1,,0,Asia
India,1,,0,Asia
Finland,1,,0,Europe
Philippines,1,,0,Asia
Sri Lanka,1,,0,Asia
Nepal,1,,0,Asia
Sweden,1,,0,Europe
Spain,1,,0,Europe
