Country/ Territory,Total Cases,Feb 6  Cases,Total Deaths,Feb 6  Deaths,Total Recovered,Total Critical,Region
China,30551,2533,633,70,1593,3859,Asia
Japan,45,,,,,,Asia
Singapore,30,2,,,1,,Asia
Thailand,25,,,,9,1,Asia
Hong Kong,24,3,1,,,,Asia
S. Korea,23,,,,1,,Asia
Taiwan,16,5,,,1,,Asia
Australia,15,1,,,3,,Oceania
Malaysia,14,2,,,1,,Asia
Germany,13,1,,,,,Europe
USA,12,,,,1,,N.America
Vietnam,12,2,,,3,,Asia
Macao,10,,,,,,Asia
Canada,7,2,,,,,N.America
France,6,,,,,1,Europe
U.A.E.,5,,,,,,Asia
Philippines,3,,1,,,,Asia
India,3,,,,,,Asia
U.K.,3,1,,,,,Europe
Italy,3,1,,,,2,Europe
Russia,2,,,,,,Europe
Nepal,1,,,,,,Asia
Cambodia,1,,,,,,Asia
Sri Lanka,1,,,,1,,Asia
Finland,1,,,,1,,Europe
Sweden,1,,,,,,Europe
Belgium,1,,,,,,Europe
Spain,1,,,,,,Europe
