Country/ Territory,Total Cases,Feb 6 Feb 7  Cases,Total Deaths,Feb 6 Feb 7  Deaths,Total Recovered,Total Critical,Region
China,31204,3186,636,73,1630,4820,Asia
Japan,86,41,,,4,,Asia
Singapore,33,5,,,1,1,Asia
Thailand,25,,,,9,1,Asia
Hong Kong,24,3,1,,,,Asia
S. Korea,24,1,,,1,,Asia
Taiwan,16,5,,,1,,Asia
Australia,15,1,,,5,,Oceania
Malaysia,15,3,,,1,,Asia
Germany,13,1,,,,,Europe
USA,12,,,,1,,N.America
Vietnam,12,2,,,3,,Asia
Macao,10,,,,,,Asia
Canada,7,2,,,,,N.America
France,6,,,,,1,Europe
U.A.E.,5,,,,,,Asia
Philippines,3,,1,,,,Asia
Italy,3,1,,,,2,Europe
India,3,,,,,,Asia
U.K.,3,1,,,,,Europe
Russia,2,,,,,,Europe
Finland,1,,,,1,,Europe
Nepal,1,,,,,,Asia
Sweden,1,,,,,,Europe
Sri Lanka,1,,,,1,,Asia
Cambodia,1,,,,1,,Asia
Spain,1,,,,,,Europe
Belgium,1,,,,,,Europe
