Country/ Territory,Total Cases,Feb 10/11  Cases,Total Deaths,Feb 10/11  Deaths,Total Recovered,Total Severe,Region
China,42670,2499,1016,108,4318,7333,Asia
Japan,163,67,,,4,,Asia
Hong Kong,49,13,1,,,,Asia
Singapore,47,4,,,9,7,Asia
Thailand,33,1,,,10,1,Asia
S. Korea,28,1,,,3,,Asia
Taiwan,18,,,,1,,Asia
Malaysia,18,1,,,3,,Asia
Vietnam,15,1,,,3,,Asia
Australia,15,,,,5,,Oceania
Germany,14,,,,,,Europe
USA,13,1,,,3,,N.America
France,11,,,,,1,Europe
Macao,10,,,,1,,Asia
U.A.E.,8,1,,,1,1,Asia
U.K.,8,4,,,1,,Europe
Canada,7,,,,1,,N.America
Philippines,3,,1,,2,,Asia
Italy,3,,,,,2,Europe
India,3,,,,,,Asia
Russia,2,,,,,,Europe
Spain,2,,,,,,Europe
Sweden,1,,,,,,Europe
Sri Lanka,1,,,,1,,Asia
Nepal,1,,,,,,Asia
Finland,1,,,,1,,Europe
Cambodia,1,,,,1,,Asia
Belgium,1,,,,,,Europe
