Country/ Territory,Total Cases,Feb 11  Cases,Total Deaths,Feb 11  Deaths,Total Recovered,Total Severe,Region
China,44653,2015,1113,97,4740,8204,Asia
Japan,203,42,,,4,,Asia
Hong Kong,49,7,1,,,,Asia
Singapore,47,2,,,9,7,Asia
Thailand,33,1,,,10,1,Asia
S. Korea,28,1,,,4,,Asia
Malaysia,18,,,,3,,Asia
Taiwan,18,,,,1,,Asia
Germany,16,2,,,,,Europe
Australia,15,,,,5,,Oceania
Vietnam,15,1,,,6,,Asia
USA,13,1,,,3,,N.America
France,11,,,,,1,Europe
Macao,10,,,,1,,Asia
U.K.,8,,,,1,,Europe
U.A.E.,8,,,,1,1,Asia
Canada,7,,,,1,,N.America
Philippines,3,,1,,2,,Asia
India,3,,,,,,Asia
Italy,3,,,,,2,Europe
Russia,2,,,,,,Europe
Spain,2,,,,,,Europe
Finland,1,,,,1,,Europe
Cambodia,1,,,,1,,Asia
Nepal,1,,,,,,Asia
Sri Lanka,1,,,,1,,Asia
Sweden,1,,,,,,Europe
Belgium,1,,,,,,Europe
